genres	avg. votes	avg. rating	avg. runtime
Action	177	5.8	98.0
Action,Adventure	5318	5.5	101.0
Action,Adventure,Animation	18114	6.6	87.0
Action,Adventure,Biography	14592	6.6	101.0
Action,Adventure,Comedy	19419	5.5	95.0
Action,Adventure,Crime	5634	5.6	98.0
Action,Adventure,Documentary	111	7.4	71.0
Action,Adventure,Drama	17460	5.7	101.0
Action,Adventure,Family	17389	5.5	101.0
Action,Adventure,Fantasy	62055	5.4	100.0
Action,Adventure,History	3465	6.0	97.0
Action,Adventure,Horror	16943	4.3	92.0
Action,Adventure,Music	168	5.6	75.0
Action,Adventure,Musical	76	6.5	113.0
Action,Adventure,Mystery	41074	5.6	114.0
Action,Adventure,Reality-TV	23	7.8	
Action,Adventure,Romance	6649	5.6	89.0
Action,Adventure,Sci-Fi	141090	5.4	103.0
Action,Adventure,Sport	142	7.3	64.0
Action,Adventure,Thriller	63458	5.6	108.0
Action,Adventure,War	2402	5.6	106.0
Action,Adventure,Western	283	5.7	88.0
Action,Animation	303	6.0	81.0
Action,Animation,Biography	166	7.2	74.0
Action,Animation,Comedy	772	6.7	80.0
Action,Animation,Crime	9316	6.9	90.0
Action,Animation,Documentary	37	7.6	82.0
Action,Animation,Drama	4077	6.9	92.0
Action,Animation,Family	1467	6.5	78.0
Action,Animation,Fantasy	3070	6.8	80.0
Action,Animation,Game-Show	14	8.1	45.0
Action,Animation,History	130	7.0	86.0
Action,Animation,Horror	6230	5.9	87.0
Action,Animation,Music	249	5.7	82.0
Action,Animation,Musical	57	6.1	100.0
Action,Animation,Mystery	2037	7.1	111.0
Action,Animation,Romance	695	6.7	116.0
Action,Animation,Sci-Fi	1666	6.3	82.0
Action,Animation,Sport	388	6.9	65.0
Action,Animation,Thriller	21	8.4	86.0
Action,Animation,War	58	7.1	
Action,Biography	295	5.9	110.0
Action,Biography,Comedy	23236	6.5	99.0
Action,Biography,Crime	22204	6.3	114.0
Action,Biography,Documentary	182	7.3	77.0
Action,Biography,Drama	28894	6.7	119.0
Action,Biography,Fantasy	10	8.4	94.0
Action,Biography,History	400	6.7	119.0
Action,Biography,Thriller	6224	7.1	124.0
Action,Biography,War	48	5.9	125.0
Action,Biography,Western	21	6.2	80.0
Action,Comedy	3177	5.6	98.0
Action,Comedy,Crime	15695	5.9	101.0
Action,Comedy,Documentary	12333	7.0	76.0
Action,Comedy,Drama	3048	5.9	115.0
Action,Comedy,Family	3619	5.4	94.0
Action,Comedy,Fantasy	13156	5.7	99.0
Action,Comedy,History	1658	6.0	104.0
Action,Comedy,Horror	7325	5.1	89.0
Action,Comedy,Music	630	5.9	79.0
Action,Comedy,Musical	789	5.9	109.0
Action,Comedy,Mystery	14247	6.4	99.0
Action,Comedy,Romance	3641	5.7	106.0
Action,Comedy,Sci-Fi	14444	5.4	92.0
Action,Comedy,Sport	6620	5.7	93.0
Action,Comedy,Talk-Show	73	6.6	135.0
Action,Comedy,Thriller	14043	5.6	103.0
Action,Comedy,War	25015	5.9	93.0
Action,Comedy,Western	597	5.8	90.0
Action,Crime	1242	5.7	92.0
Action,Crime,Documentary	457	6.9	87.0
Action,Crime,Drama	8927	5.9	103.0
Action,Crime,Family	752	6.4	132.0
Action,Crime,Fantasy	24655	5.4	94.0
Action,Crime,Film-Noir	1437	6.1	84.0
Action,Crime,History	1417	5.9	120.0
Action,Crime,Horror	7731	5.3	95.0
Action,Crime,Music	1695	6.3	83.0
Action,Crime,Musical	125	5.8	128.0
Action,Crime,Mystery	8253	5.9	95.0
Action,Crime,Romance	5694	5.5	102.0
Action,Crime,Sci-Fi	45757	5.5	110.0
Action,Crime,Sport	266	5.5	99.0
Action,Crime,Thriller	22234	5.8	105.0
Action,Crime,War	1028	6.8	103.0
Action,Crime,Western	30	6.4	119.0
Action,Documentary	381	6.9	76.0
Action,Documentary,Drama	149	7.6	79.0
Action,Documentary,Family	22	7.7	78.0
Action,Documentary,Fantasy	106	7.6	84.0
Action,Documentary,History	646	7.2	77.0
Action,Documentary,Horror	9	6.3	64.0
Action,Documentary,Music	16	7.1	96.0
Action,Documentary,Mystery	20844	8.3	77.0
Action,Documentary,News	31	7.4	67.0
Action,Documentary,Reality-TV	123	7.4	64.0
Action,Documentary,Sci-Fi	4542	7.0	22.0
Action,Documentary,Sport	175	7.5	75.0
Action,Documentary,War	66	7.2	70.0
Action,Drama	2074	5.9	105.0
Action,Drama,Family	4616	6.1	115.0
Action,Drama,Fantasy	6030	5.8	101.0
Action,Drama,Film-Noir	2012	6.4	96.0
Action,Drama,History	15370	6.5	116.0
Action,Drama,Horror	9229	5.0	92.0
Action,Drama,Music	3283	5.5	99.0
Action,Drama,Musical	1894	6.1	139.0
Action,Drama,Mystery	19570	5.9	102.0
Action,Drama,Romance	2488	6.0	114.0
Action,Drama,Sci-Fi	47282	5.3	98.0
Action,Drama,Sport	16745	5.8	105.0
Action,Drama,Thriller	8248	5.7	108.0
Action,Drama,War	7172	6.1	103.0
Action,Drama,Western	5501	5.8	89.0
Action,Family	340	5.2	102.0
Action,Family,Fantasy	687	5.2	85.0
Action,Family,Horror	656	4.8	141.0
Action,Family,Musical	33	6.6	138.0
Action,Family,Mystery	217	5.6	119.0
Action,Family,Romance	841	5.9	114.0
Action,Family,Sci-Fi	204	6.0	92.0
Action,Family,Sport	99433	6.1	112.0
Action,Family,Thriller	131	5.4	143.0
Action,Family,War	962	5.7	54.0
Action,Family,Western	29	7.0	98.0
Action,Fantasy	5969	5.8	92.0
Action,Fantasy,History	356	6.3	95.0
Action,Fantasy,Horror	12235	5.0	95.0
Action,Fantasy,Musical	348	6.2	140.0
Action,Fantasy,Mystery	567	6.2	97.0
Action,Fantasy,Romance	1716	5.9	103.0
